# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.611916399127e-10       6.050210396239e-15       1.512523028755e-13       0.000000000000e+00       7.167163920226e-11       7.764352335123e-12      -5.582230971475e-15 
   41       1.641303732390e-10       6.576838222571e-15       1.409695147843e-13       0.000000000000e+00       6.803932718517e-11       7.423707448774e-12      -4.809629377956e-15 
   42       1.670987977726e-10       7.132014384667e-15       1.294479058454e-13       0.000000000000e+00       6.465355757112e-11       7.104627929694e-12      -4.276979828345e-15 
   43       1.700996354358e-10       7.716010096112e-15       1.167669411743e-13       0.000000000000e+00       6.147685406408e-11       6.803676567132e-12      -4.181768801528e-15 
   44       1.731339336985e-10       8.329419164794e-15       1.028905023996e-13       0.000000000000e+00       5.850386257599e-11       6.520504374555e-12      -4.483511960109e-15 
   45       1.762001503851e-10       8.972928943128e-15       8.774341091038e-14       0.000000000000e+00       5.573117331576e-11       6.254979359167e-12      -5.054991368948e-15 
   46       1.792936368589e-10       9.647233340890e-15       7.124021638659e-14       0.000000000000e+00       5.314531489032e-11       6.006045047717e-12      -5.738904339011e-15 
   47       1.824063672630e-10       1.035303358259e-14       5.328450212133e-14       0.000000000000e+00       5.072197229560e-11       5.771647391200e-12      -6.346090039811e-15 
   48       1.855301276580e-10       1.109094872707e-14       3.378810643532e-14       0.000000000000e+00       4.843338663126e-11       5.549398175164e-12      -6.704751812285e-15 
   49       1.886677782508e-10       1.186121563235e-14       1.273681497389e-14       0.000000000000e+00       4.627484550437e-11       5.338956943116e-12      -6.828669449402e-15 
   50       1.918247006561e-10       1.266390571577e-14      -9.858007270449e-15       0.000000000000e+00       4.424431636681e-11       5.140194922228e-12      -6.793357018823e-15 
   51       1.950055232639e-10       1.349900405562e-14      -3.397740173308e-14       0.000000000000e+00       4.233456115584e-11       4.952482495865e-12      -6.690015146971e-15 
   52       1.982140270062e-10       1.436640554446e-14      -5.959449482804e-14       0.000000000000e+00       4.053277171997e-11       4.774653685101e-12      -6.626359452911e-15 
   53       2.014529342567e-10       1.526601299492e-14      -8.668672451395e-14       0.000000000000e+00       3.882453952295e-11       4.605385220920e-12      -6.700174180389e-15 
   54       2.047234287168e-10       1.619806992805e-14      -1.152769509707e-13       0.000000000000e+00       3.720780236578e-11       4.444529957240e-12      -6.910082323729e-15 
   55       2.080253478359e-10       1.716290665502e-14      -1.454023569995e-13       0.000000000000e+00       3.568184856392e-11       4.292064431881e-12      -7.223274519078e-15 
   56       2.113571919690e-10       1.816084623374e-14      -1.771030253944e-13       0.000000000000e+00       3.424311785448e-11       4.147686561349e-12      -7.600467386847e-15 
   57       2.147160252427e-10       1.919220489700e-14      -2.104221436150e-13       0.000000000000e+00       3.288501855276e-11       4.010797505610e-12      -7.995588368032e-15 
   58       2.180973764216e-10       2.025729248060e-14      -2.454062084599e-13       0.000000000000e+00       3.159774470883e-11       3.880483532865e-12      -8.355460560540e-15 
