# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.549844582695e-02       1.935887903002e+04 
       1.564204278759e-02       1.936012196276e+04 
       1.578567818826e-02       1.936013263788e+04 
       1.592935230867e-02       1.935850993540e+04 
       1.607306545061e-02       1.935546015704e+04 
       1.621681793777e-02       1.935094799873e+04 
       1.636061011562e-02       1.934509723013e+04 
       1.650444235122e-02       1.933806025331e+04 
       1.664831503316e-02       1.932894518192e+04 
       1.679222857148e-02       1.931933794734e+04 
       1.693618339762e-02       1.930817132195e+04 
       1.708017996436e-02       1.929574016224e+04 
       1.722421874586e-02       1.928183971245e+04 
       1.736830023764e-02       1.926683785086e+04 
       1.751242495665e-02       1.925066164129e+04 
       1.765659344131e-02       1.923330621270e+04 
       1.780080625159e-02       1.921482291220e+04 
       1.794506396910e-02       1.919502251882e+04 
       1.808936719726e-02       1.917421011866e+04 
       1.823371656135e-02       1.915235601636e+04 
       1.837811270876e-02       1.912942274201e+04 
       1.852255630910e-02       1.910550073208e+04 
       1.866704805443e-02       1.908005471838e+04 
       1.881158865943e-02       1.905397267186e+04 
       1.895617886170e-02       1.902674304094e+04 
       1.910081942191e-02       1.899845463329e+04 
       1.924551112415e-02       1.896960426899e+04 
       1.939025477619e-02       1.893937594794e+04 
       1.953505120972e-02       1.890904881021e+04 
       1.967990128074e-02       1.887678914820e+04 
       1.982480586987e-02       1.884408272402e+04 
       1.996976588269e-02       1.880997308804e+04 
       2.011478225010e-02       1.877585074141e+04 
       2.025985592872e-02       1.874045325972e+04 
       2.040498790130e-02       1.870427886637e+04 
       2.055017917713e-02       1.866751866339e+04 
       2.069543079245e-02       1.862955465022e+04 
       2.084074381096e-02       1.859107486753e+04 
       2.098611932426e-02       1.855171465149e+04 
       2.113155845234e-02       1.851158990433e+04 
       2.127706234411e-02       1.847087450211e+04 
       2.142263217790e-02       1.842927182322e+04 
       2.156826916204e-02       1.838739692580e+04 
       2.171397453542e-02       1.834417619623e+04 
       2.185974956806e-02       1.830065606287e+04 
       2.200559556174e-02       1.825636417631e+04 
       2.215151385061e-02       1.821155945952e+04 
       2.229750580186e-02       1.816642030552e+04 
       2.244357281639e-02       1.812010730905e+04 
       2.258971632947e-02       1.807325277358e+04 
       2.273593781151e-02       1.802652201292e+04 
       2.288223876875e-02       1.797870487696e+04 
       2.302862074405e-02       1.793025414516e+04 
       2.317508531768e-02       1.788095194258e+04 
       2.332163410811e-02       1.783205381501e+04 
       2.346826877287e-02       1.778223991854e+04 
       2.361499100937e-02       1.773126403692e+04 
       2.376180255587e-02       1.768069617359e+04 
       2.390870519233e-02       1.762909574457e+04 
       2.405570074136e-02       1.757713996659e+04 
       2.420279106923e-02       1.752494371275e+04 
       2.434997808685e-02       1.747212531545e+04 
       2.449726375083e-02       1.741898249187e+04 
       2.464465006450e-02       1.736538368487e+04 
       2.479213907907e-02       1.731141365276e+04 
       2.493973289473e-02       1.725713443580e+04 
       2.508743366182e-02       1.720227104874e+04 
       2.523524358206e-02       1.714721324727e+04 
       2.538316490977e-02       1.709182434362e+04 
       2.553119995315e-02       1.703591610989e+04 
       2.567935107562e-02       1.697966419882e+04 
       2.582762069719e-02       1.692313671618e+04 
       2.597601129582e-02       1.686642351468e+04 
       2.612452540893e-02       1.680931926904e+04 
       2.627316563482e-02       1.675180419320e+04 
       2.642193463431e-02       1.669384026571e+04 
       2.657083513223e-02       1.663622851655e+04 
       2.671986991914e-02       1.657850129179e+04 
       2.686904185296e-02       1.651958608371e+04 
       2.701835386077e-02       1.646106047172e+04 
       2.716780894059e-02       1.640206714486e+04 
       2.731741016321e-02       1.634289578150e+04 
       2.746716067419e-02       1.628340848350e+04 
       2.761706369577e-02       1.622381735469e+04 
       2.776712252894e-02       1.616430151495e+04 
       2.791734055559e-02       1.610407791818e+04 
       2.806772124064e-02       1.604401597285e+04 
       2.821826813436e-02       1.598422202110e+04 
       2.836898487464e-02       1.592354875645e+04 
       2.851987518946e-02       1.586291735819e+04 
       2.867094289936e-02       1.580153030091e+04 
       2.882219192001e-02       1.574142082146e+04 
       2.897362626489e-02       1.567976044474e+04 
       2.912525004808e-02       1.561860621181e+04 
       2.927706748703e-02       1.555733768505e+04 
       2.942908290560e-02       1.549592474613e+04 
       2.958130073709e-02       1.543451469220e+04 
       2.973372552740e-02       1.537312902674e+04 
       2.988636193829e-02       1.531137181838e+04 
       3.003921475082e-02       1.524941772154e+04 
       3.019228886884e-02       1.518798599507e+04 
       3.034558932265e-02       1.512594489219e+04 
       3.049912127274e-02       1.506383258007e+04 
       3.065289001378e-02       1.500185944242e+04 
       3.080690097861e-02       1.493980463008e+04 
       3.096115974251e-02       1.487771584891e+04 
       3.111567202753e-02       1.481548599128e+04 
       3.127044370705e-02       1.475352609149e+04 
       3.142548081051e-02       1.469121399438e+04 
       3.158078952826e-02       1.462924226950e+04 
       3.173637621667e-02       1.456674974391e+04 
       3.189224740342e-02       1.450453185646e+04 
       3.204840979296e-02       1.444243976090e+04 
       3.220487027223e-02       1.438030339379e+04 
       3.236163591659e-02       1.431799020215e+04 
       3.251871399601e-02       1.425571341305e+04 
       3.267611198145e-02       1.419360996866e+04 
       3.283383755162e-02       1.413123403934e+04 
