# Matter power spectrum P(k) at redshift z=0
# for k=1.076e-05 to 5.05946 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.076000899644e-05       1.634961356239e+05 
       2.507242322044e-05       1.446840635564e+04 
       3.944414625170e-05       4.591831652084e+03 
       5.392293451217e-05       2.380566366384e+03 
       6.855748729178e-05       1.597679403444e+03 
       8.339798236937e-05       1.250692508116e+03 
       9.849663206949e-05       1.081208078160e+03 
       1.139082687383e-04       9.957213660403e+02 
       1.296909686713e-04       9.534954928485e+02 
       1.459067235460e-04       9.399851880993e+02 
       1.626221683074e-04       9.447502641922e+02 
       1.799093740956e-04       9.628597413021e+02 
       1.978467139972e-04       9.909184375332e+02 
       2.165198078916e-04       1.027229763210e+03 
       2.360225500865e-04       1.070406607820e+03 
       2.564582193102e-04       1.120024371215e+03 
       2.779406643329e-04       1.175662942405e+03 
       3.005955492070e-04       1.237068774477e+03 
       3.245616289114e-04       1.304531174822e+03 
       3.499920079524e-04       1.378016772885e+03 
       3.770553101694e-04       1.457891598440e+03 
       4.059366568153e-04       1.544599005893e+03 
       4.368383118825e-04       1.638528147075e+03 
       4.699798100654e-04       1.740223144640e+03 
       5.055973376108e-04       1.850299072751e+03 
       5.439420973002e-04       1.969406457893e+03 
       5.852773684408e-04       2.098213038676e+03 
       6.298739886962e-04       2.237410507532e+03 
       6.780040580149e-04       2.387652946734e+03 
       7.299328155547e-04       2.549217449099e+03 
       7.859088776440e-04       2.723635974183e+03 
       8.461533353354e-04       2.910262426269e+03 
       9.108485477656e-04       3.109630282369e+03 
       9.801277516073e-04       3.321875573028e+03 
       1.054066737909e-03       3.546786412538e+03 
       1.132678742097e-03       3.783894414988e+03 
       1.215913325854e-03       4.032599804720e+03 
       1.303659461862e-03       4.292140231868e+03 
       1.395752401213e-03       4.561719102751e+03 
       1.491983373584e-03       4.837832830407e+03 
       1.592110869433e-03       5.123598095635e+03 
       1.695872225828e-03       5.415385837298e+03 
       1.802994440134e-03       5.712197127728e+03 
       1.913203471101e-03       6.012831009996e+03 
       2.026231649399e-03       6.316002980667e+03 
       2.141823130128e-03       6.620399433148e+03 
       2.259737539242e-03       6.925507247327e+03 
       2.379752089790e-03       7.230413420548e+03 
       2.501662489266e-03       7.534279933997e+03 
       2.625282951063e-03       7.835965714106e+03 
       2.750445584256e-03       8.136562991202e+03 
       2.876999384892e-03       8.434373374916e+03 
       3.004809000027e-03       8.729196681755e+03 
       3.133753389392e-03       9.020520706956e+03 
       3.263724471331e-03       9.307985252947e+03 
       3.394625809885e-03       9.591488792510e+03 
       3.526371377740e-03       9.870712111523e+03 
       3.658884413917e-03       1.014555246173e+04 
       3.792096384184e-03       1.041583686151e+04 
       3.925946044955e-03       1.068143886293e+04 
       4.060378606936e-03       1.094237720982e+04 
       4.195344992158e-03       1.119854639937e+04 
       4.330801176666e-03       1.145017914745e+04 
       4.466707610692e-03       1.169658610167e+04 
       4.603028708152e-03       1.193859924929e+04 
       4.739732397735e-03       1.217519008390e+04 
       4.876789728367e-03       1.240730202583e+04 
       5.014174522526e-03       1.263476705152e+04 
       5.151863071516e-03       1.285720814182e+04 
       5.289833867483e-03       1.307412067414e+04 
       5.428067367543e-03       1.328620316739e+04 
       5.566545785998e-03       1.349424683281e+04 
       5.705252911054e-03       1.369719550336e+04 
       5.844173942980e-03       1.389560885975e+04 
       5.983295350996e-03       1.408936707001e+04 
       6.122604746540e-03       1.427878788760e+04 
       6.262090770896e-03       1.446373951934e+04 
       6.401742995381e-03       1.464375435019e+04 
       6.541551832579e-03       1.481952700078e+04 
       6.681508457258e-03       1.499211920093e+04 
       6.821604735822e-03       1.515904592903e+04 
       6.961833163268e-03       1.532245352284e+04 
       7.102186806776e-03       1.548336333348e+04 
       7.242659255145e-03       1.563791823573e+04 
       7.383244573417e-03       1.578957814498e+04 
       7.523937262078e-03       1.593672139346e+04 
       7.664732220338e-03       1.608019060332e+04 
       7.805624713027e-03       1.622006928042e+04 
       7.946610340710e-03       1.635563373170e+04 
       8.087685012667e-03       1.648779172063e+04 
       8.228844922442e-03       1.661616846456e+04 
       8.370086525674e-03       1.674112698705e+04 
       8.511406519980e-03       1.686063039656e+04 
       8.652801826674e-03       1.697836203171e+04 
       8.794269574132e-03       1.709256355097e+04 
       8.935807082641e-03       1.720350564087e+04 
       9.077411850583e-03       1.731111780487e+04 
       9.219081541818e-03       1.741545694286e+04 
       9.360813974151e-03       1.751676643981e+04 
       9.502607108783e-03       1.761470344293e+04 
       9.644459040642e-03       1.770958651663e+04 
       9.786367989530e-03       1.780138634418e+04 
       9.928332291981e-03       1.789021833832e+04 
       1.007035039380e-02       1.797613959291e+04 
       1.021242084317e-02       1.805887712170e+04 
       1.035454228438e-02       1.813940978106e+04 
       1.049671345196e-02       1.821669886501e+04 
       1.063893316530e-02       1.829127359405e+04 
       1.078120032376e-02       1.836291220201e+04 
       1.092351390205e-02       1.843164120741e+04 
       1.106587294602e-02       1.849852375552e+04 
       1.120827656877e-02       1.856214539349e+04 
       1.135072394703e-02       1.862337418206e+04 
       1.149321431781e-02       1.868218253886e+04 
       1.163574697533e-02       1.873850590677e+04 
       1.177832126813e-02       1.879247102105e+04 
       1.192093659645e-02       1.884393434967e+04 
       1.206359240970e-02       1.889329435863e+04 
       1.220628820427e-02       1.894018035417e+04 
       1.234902352134e-02       1.898479270083e+04 
       1.249179794492e-02       1.902719195785e+04 
       1.263461110007e-02       1.906746240516e+04 
       1.277746265116e-02       1.910562612073e+04 
       1.292035230034e-02       1.914150510470e+04 
       1.306327978604e-02       1.917562264961e+04 
       1.320624488165e-02       1.920753755154e+04 
       1.334924739425e-02       1.923763029443e+04 
       1.349228716345e-02       1.926534192343e+04 
       1.363536406031e-02       1.929103093231e+04 
       1.377847798635e-02       1.931518787659e+04 
       1.392162887261e-02       1.933766562851e+04 
       1.406481667881e-02       1.935782532423e+04 
       1.420804139255e-02       1.937620910496e+04 
       1.435130302859e-02       1.939351696112e+04 
       1.449460162818e-02       1.940857499174e+04 
       1.463793725843e-02       1.942187742273e+04 
       1.478131001176e-02       1.943347532383e+04 
       1.492472000536e-02       1.944337834073e+04 
       1.506816738077e-02       1.945153050803e+04 
       1.521165230337e-02       1.945839875755e+04 
       1.535517496207e-02       1.946334820936e+04 
       1.549873556890e-02       1.946680282761e+04 
       1.564233435874e-02       1.946838134725e+04 
       1.578597158901e-02       1.946932750656e+04 
       1.592964753944e-02       1.946827228534e+04 
       1.607336251184e-02       1.946582364983e+04 
       1.621711682995e-02       1.946161942196e+04 
       1.636091083924e-02       1.945681037529e+04 
       1.650474490680e-02       1.944992828131e+04 
       1.664861942126e-02       1.944146324206e+04 
       1.679253479268e-02       1.943209346882e+04 
       1.693649145250e-02       1.942180493072e+04 
       1.708048985356e-02       1.940956603250e+04 
       1.722453047003e-02       1.939635582955e+04 
       1.736861379746e-02       1.938168495761e+04 
       1.751274035282e-02       1.936583206633e+04 
       1.765691067456e-02       1.934879869476e+04 
       1.780112532267e-02       1.933049347894e+04 
       1.794538487881e-02       1.931126874284e+04 
       1.808968994638e-02       1.929070065170e+04 
       1.823404115074e-02       1.926938972472e+04 
       1.837843913927e-02       1.924656848035e+04 
       1.852288458162e-02       1.922275938666e+04 
       1.866737816987e-02       1.919761104541e+04 
       1.881192061875e-02       1.917150628687e+04 
       1.895651266586e-02       1.914512848144e+04 
       1.910115507192e-02       1.911690099942e+04 
       1.924584862105e-02       1.908818395789e+04 
       1.939059412102e-02       1.905836136981e+04 
       1.953539240358e-02       1.902786972452e+04 
       1.968024432476e-02       1.899585030399e+04 
       1.982515076519e-02       1.896349238781e+04 
       1.997011263050e-02       1.892970415736e+04 
       2.011513085161e-02       1.889533835102e+04 
       2.026020638518e-02       1.886035137028e+04 
       2.040534021399e-02       1.882422048969e+04 
       2.055053334735e-02       1.878726165931e+04 
       2.069578682156e-02       1.874972702970e+04 
       2.084110170035e-02       1.871134715567e+04 
       2.098647907533e-02       1.867197268567e+04 
       2.113192006655e-02       1.863197615134e+04 
       2.127742582294e-02       1.859134301278e+04 
       2.142299752289e-02       1.854988291588e+04 
       2.156863637475e-02       1.850787968000e+04 
       2.171434361744e-02       1.846460885479e+04 
       2.186012052104e-02       1.842144000651e+04 
       2.200596838736e-02       1.837760259104e+04 
       2.215188855059e-02       1.833261695580e+04 
       2.229788237797e-02       1.828688193163e+04 
       2.244395127043e-02       1.824083076084e+04 
       2.259009666329e-02       1.819440461536e+04 
       2.273632002700e-02       1.814724353957e+04 
       2.288262286786e-02       1.809956163906e+04 
       2.302900672876e-02       1.805104772891e+04 
       2.317547319002e-02       1.800210194128e+04 
       2.332202387016e-02       1.795274687994e+04 
       2.346866042675e-02       1.790222762939e+04 
       2.361538455727e-02       1.785193572505e+04 
       2.376219800002e-02       1.780131089833e+04 
       2.390910253500e-02       1.774953542089e+04 
       2.405609998489e-02       1.769772415713e+04 
       2.420319221602e-02       1.764534209035e+04 
       2.435038113934e-02       1.759257181644e+04 
       2.449766871152e-02       1.753918883382e+04 
       2.464505693595e-02       1.748558165848e+04 
       2.479254786391e-02       1.743136629168e+04 
       2.494014359564e-02       1.737699575698e+04 
       2.508784628154e-02       1.732210483190e+04 
       2.523565812341e-02       1.726662004526e+04 
       2.538358137561e-02       1.721108392066e+04 
       2.553161834643e-02       1.715523969154e+04 
       2.567977139935e-02       1.709900415216e+04 
       2.582804295445e-02       1.704225938911e+04 
       2.597643548976e-02       1.698543988091e+04 
       2.612495154277e-02       1.692856697932e+04 
       2.627359371187e-02       1.687046221117e+04 
       2.642236465794e-02       1.681254873546e+04 
       2.657126710590e-02       1.675468795418e+04 
       2.672030384639e-02       1.669611358673e+04 
       2.686947773741e-02       1.663751305256e+04 
       2.701879170613e-02       1.657861569259e+04 
       2.716824875064e-02       1.651968062129e+04 
       2.731785194185e-02       1.646030318445e+04 
       2.746760442538e-02       1.640039557067e+04 
       2.761750942358e-02       1.634087652011e+04 
       2.776757023754e-02       1.628068745811e+04 
       2.791779024924e-02       1.622043391259e+04 
       2.806817292370e-02       1.616011429821e+04 
       2.821872181130e-02       1.609940691940e+04 
       2.836944055003e-02       1.603925857242e+04 
       2.852033286799e-02       1.597824740284e+04 
       2.867140258582e-02       1.591723063358e+04 
       2.882265361932e-02       1.585598982217e+04 
       2.897408998208e-02       1.579509515052e+04 
       2.912571578829e-02       1.573363736721e+04 
       2.927753525553e-02       1.567144539454e+04 
       2.942955270781e-02       1.561020336023e+04 
       2.958177257854e-02       1.554811657734e+04 
       2.973419941375e-02       1.548636404454e+04 
       2.988683787536e-02       1.542432044769e+04 
       3.003969274455e-02       1.536240166356e+04 
       3.019276892534e-02       1.530031550761e+04 
       3.034607144815e-02       1.523817014377e+04 
