# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.114096861006e-10       3.043891267606e-15       2.622773442670e-13       0.000000000000e+00       7.745980808183e-09       4.091314913306e-10      -1.526926206328e-12 
    3       1.053205192895e-10       3.914051806379e-15       2.956254237878e-13       0.000000000000e+00       4.713833904854e-09       2.862906887264e-10      -1.155794644734e-12 
    4       9.984394855970e-11       3.395996052809e-15       2.770885818084e-13       0.000000000000e+00       3.243391619305e-09       2.146936068110e-10      -7.533157255061e-13 
    5       9.595298852251e-11       2.272996876344e-15       2.364987554379e-13       0.000000000000e+00       2.399663891852e-09       1.682844062314e-10      -4.134902213754e-13 
    6       9.350401644077e-11       1.282377775387e-15       1.911347472599e-13       0.000000000000e+00       1.860295558433e-09       1.360585633305e-10      -1.623898979037e-13 
    7       9.213734161746e-11       7.130898036561e-16       1.509988811965e-13       0.000000000000e+00       1.490514607885e-09       1.125977579219e-10      -1.883309436379e-15 
    8       9.159511965811e-11       4.843343088453e-16       1.204499450717e-13       0.000000000000e+00       1.224092097759e-09       9.491561270058e-11       7.994475782241e-14 
    9       9.166625012283e-11       4.048941945134e-16       1.004060234215e-13       0.000000000000e+00       1.024919486268e-09       8.125669874698e-11       1.021963394025e-13 
   10       9.218647442216e-11       3.500708090262e-16       8.973552500045e-14       0.000000000000e+00       8.715974067690e-10       7.049448288201e-11       8.634951832531e-14 
   11       9.304853267129e-11       2.923460399513e-16       8.631412549507e-14       0.000000000000e+00       7.442214085051e-10       6.253141220745e-11       5.266072667605e-14 
   12       9.420805639307e-11       2.495819116732e-16       8.778183981251e-14       0.000000000000e+00       6.482493841537e-10       5.526208987200e-11       1.642270265668e-14 
   13       9.554550265880e-11       2.344638337973e-16       9.206049355970e-14       0.000000000000e+00       5.696686529696e-10       4.930896815828e-11      -1.197565616590e-14 
   14       9.709090229472e-11       2.415750364662e-16       9.767238984669e-14       0.000000000000e+00       5.044561504547e-10       4.413562262474e-11      -2.835833404987e-14 
   15       9.881075665639e-11       2.600673408049e-16       1.036666876412e-13       0.000000000000e+00       4.497031221820e-10       3.979830175793e-11      -3.253675371277e-14 
   16       1.006270465033e-10       2.861656455938e-16       1.095683854464e-13       0.000000000000e+00       4.032617550582e-10       3.607759199428e-11      -2.769147784950e-14 
   17       1.025266309370e-10       3.237627363395e-16       1.153013183180e-13       0.000000000000e+00       3.635147999874e-10       3.284514584872e-11      -1.824682240211e-14 
