# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.612744212176e-10       6.096173934192e-15       1.511108497716e-13       4.616277409745e-17       7.167163920226e-11       7.764352335123e-12      -5.582230971475e-15 
   41       1.642166138376e-10       6.625099697444e-15       1.408175201342e-13       4.851082955825e-17       6.803932718517e-11       7.423707448774e-12      -4.809629377956e-15 
   42       1.671885328598e-10       7.182626597096e-15       1.292850603719e-13       5.091825106732e-17       6.465355757112e-11       7.104627929694e-12      -4.276979828345e-15 
   43       1.701928971370e-10       7.769025494639e-15       1.165929660790e-13       5.338508914856e-17       6.147685406408e-11       6.803676567132e-12      -4.181768801528e-15 
   44       1.732307517949e-10       8.384889770709e-15       1.027051533641e-13       5.591141768850e-17       5.850386257599e-11       6.520504374555e-12      -4.483511960109e-15 
   45       1.763005525478e-10       9.030906317778e-15       8.754648218625e-14       5.849732121172e-17       5.573117331576e-11       6.254979359167e-12      -5.054991368948e-15 
   46       1.793976486978e-10       9.707768569340e-15       7.103154501028e-14       6.114289039583e-17       5.314531489032e-11       6.006045047717e-12      -5.738904339011e-15 
   47       1.825140123778e-10       1.041617725751e-14       5.306397227529e-14       6.384822267577e-17       5.072197229560e-11       5.771647391200e-12      -6.346090039811e-15 
   48       1.856414278257e-10       1.115675088403e-14       3.355565367206e-14       6.661342061191e-17       4.843338663126e-11       5.549398175164e-12      -6.704751812285e-15 
   49       1.887827540623e-10       1.192972552263e-14       1.249242963975e-14       6.943858504053e-17       4.627484550437e-11       5.338956943116e-12      -6.828669449402e-15 
   50       1.919433718343e-10       1.273517169627e-14      -1.011427578478e-14       7.232382103067e-17       4.424431636681e-11       5.140194922228e-12      -6.793357018823e-15 
   51       1.951279088696e-10       1.357307352130e-14      -3.424544034874e-14       7.526924042985e-17       4.233456115584e-11       4.952482495865e-12      -6.690015146971e-15 
   52       1.983401456526e-10       1.444332485863e-14      -5.987412200191e-14       7.827496235414e-17       4.053277171997e-11       4.774653685101e-12      -6.626359452911e-15 
   53       2.015828041956e-10       1.534582738090e-14      -8.697768636746e-14       8.134110102285e-17       3.882453952295e-11       4.605385220920e-12      -6.700174180389e-15 
   54       2.048570674803e-10       1.628082323889e-14      -1.155789207105e-13       8.446772446162e-17       3.720780236578e-11       4.444529957240e-12      -6.910082323729e-15 
   55       2.081627722245e-10       1.724864122990e-14      -1.457149316621e-13       8.765488603437e-17       3.568184856392e-11       4.292064431881e-12      -7.223274519078e-15 
   56       2.114984181718e-10       1.824960278418e-14      -1.774257215414e-13       9.090263612974e-17       3.424311785448e-11       4.147686561349e-12      -7.600467386847e-15 
   57       2.148610689608e-10       1.928402238925e-14      -2.107543929397e-13       9.421102212066e-17       3.288501855276e-11       4.010797505610e-12      -7.995588368032e-15 
   58       2.182462529959e-10       2.035220801430e-14      -2.457473533044e-13       9.758008832381e-17       3.159774470883e-11       3.880483532865e-12      -8.355460560540e-15 
   59       2.216495928697e-10       2.145435923496e-14      -2.824422341565e-13       1.010098649460e-16       3.037094787546e-11       3.755777323343e-12      -8.631772910023e-15 
   60       2.250723606533e-10       2.259023301686e-14      -3.208279079484e-13       1.045003320178e-16       2.920289223066e-11       3.636553931225e-12      -8.820952731302e-15 
