# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.114100918416e-10       3.044054704243e-15       2.622773414859e-13       1.634365678502e-19       7.745980808183e-09	 4.091314913306e-10      -1.526926206328e-12 
    3       1.053213288047e-10       3.914378727942e-15       2.956254113844e-13       3.269208841928e-19       4.713833904854e-09       2.862906887264e-10      -1.155794644734e-12 
    4       9.984529343450e-11       3.396541030420e-15       2.770885461321e-13       5.449742684328e-19       3.243391619305e-09       2.146936068110e-10      -7.533157255061e-13 
    5       9.595499786711e-11       2.273814548234e-15       2.364986740602e-13       8.176604149226e-19       2.399663891852e-09       1.682844062314e-10      -4.134902213754e-13 
    6       9.350681639362e-11       1.283522865675e-15       1.911345870039e-13       1.145058899246e-18       1.860295558433e-09       1.360585633305e-10      -1.623898979037e-13 
    7       9.214105492380e-11       7.146171420158e-16       1.509985963051e-13       1.527265064319e-18       1.490514607885e-09       1.125977579219e-10      -1.883309436379e-15 
    8       9.159986533253e-11       4.862988508369e-16       1.204494755360e-13       1.964389805106e-18       1.224092097759e-09       9.491561270058e-11       7.994475782241e-14 
    9       9.167214320152e-11       4.073510421722e-16       1.004052934872e-13       2.456559217653e-18       1.024919486268e-09       8.125669874698e-11       1.021963394025e-13 
   10       9.219362580781e-11       3.530752311460e-16       8.973444186592e-14       3.003914078897e-18       8.715974067690e-10       7.049448288201e-11       8.634951832531e-14 
   11       9.305704907016e-11       2.959534913439e-16       8.631257821141e-14       3.606609126908e-18       7.442214085051e-10       6.253141220745e-11       5.266072667605e-14 
   12       9.421804034055e-11       2.538480505734e-16       8.777969839005e-14       4.264812116635e-18       6.482493841537e-10       5.526208987200e-11       1.642270265668e-14 
   13       9.555705262701e-11       2.394445365015e-16       9.205760828412e-14       4.978702633844e-18       5.696686529696e-10       4.930896815828e-11      -1.197565616590e-14 
   14       9.710411287296e-11       2.473264082722e-16       9.766859080285e-14       5.748470659279e-18       5.044561504547e-10       4.413562262474e-11      -2.835833404987e-14 
   15       9.882571879281e-11       2.666457223415e-16       1.036617844401e-13       6.574314885858e-18       4.497031221820e-10       3.979830175793e-11      -3.253675371277e-14 
   16       1.006438477947e-10       2.936276137170e-16       1.095621671482e-13       7.456440803423e-18       4.032617550582e-10       3.607759199428e-11      -2.769147784950e-14 
   17       1.025453559517e-10       3.321650989098e-16       1.152935535414e-13       8.395058577580e-18       3.635147999874e-10       3.284514584872e-11      -1.824682240211e-14 
   18       1.045515764137e-10       3.872605395210e-16       1.210779988298e-13       9.390380893643e-18       3.290976312002e-10       3.003673297602e-11      -8.552407385824e-15 
