# Matter power spectrum P(k) at redshift z=0
# for k=1.076e-05 to 5.05946 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.076000899644e-05       1.634991651817e+05 
       2.507242322044e-05       1.446838441391e+04 
       3.944414625170e-05       4.591702717044e+03 
       5.392293451217e-05       2.380429389054e+03 
       6.855748729178e-05       1.597541381378e+03 
       8.339798236937e-05       1.250551836827e+03 
       9.849663206949e-05       1.081062017471e+03 
       1.139082687383e-04       9.955675577241e+02 
       1.296909686713e-04       9.533324292997e+02 
       1.459067235460e-04       9.398109781773e+02 
       1.626221683074e-04       9.445633313677e+02 
       1.799093740956e-04       9.626584183490e+02 
       1.978467139972e-04       9.907010639281e+02 
       2.165198078916e-04       1.026994472063e+03 
       2.360225500865e-04       1.070151454240e+03 
       2.564582193102e-04       1.119747032835e+03 
       2.779406643329e-04       1.175360805362e+03 
       3.005955492070e-04       1.236738881032e+03 
       3.245616289114e-04       1.304169894947e+03 
       3.499920079524e-04       1.377619989510e+03 
       3.770553101694e-04       1.457454367172e+03 
       4.059366568153e-04       1.544115341661e+03 
       4.368383118825e-04       1.637990978228e+03 
       4.699798100654e-04       1.739623970259e+03 
       5.055973376108e-04       1.849627610352e+03 
       5.439420973002e-04       1.968650237226e+03 
       5.852773684408e-04       2.097356974972e+03 
       6.298739886962e-04       2.236436626230e+03 
       6.780040580149e-04       2.386539077533e+03 
       7.299328155547e-04       2.547935904890e+03 
       7.859088776440e-04       2.722157776762e+03 
       8.461533353354e-04       2.908548714294e+03 
       9.108485477656e-04       3.107636894178e+03 
       9.801277516073e-04       3.319551390175e+03 
       1.054066737909e-03       3.544072711420e+03 
       1.132678742097e-03       3.780724785856e+03 
       1.215913325854e-03       4.028900508179e+03 
       1.303659461862e-03       4.287830787007e+03 
       1.395752401213e-03       4.556713249229e+03 
       1.491983373584e-03       4.832039450991e+03 
       1.592110869433e-03       5.116923774076e+03 
       1.695872225828e-03       5.407735218018e+03 
       1.802994440134e-03       5.703475116588e+03 
       1.913203471101e-03       6.002944150606e+03 
       2.026231649399e-03       6.304860901173e+03 
       2.141823130128e-03       6.607916058251e+03 
       2.259737539242e-03       6.911600575107e+03 
       2.379752089790e-03       7.215006326682e+03 
       2.501662489266e-03       7.517300177328e+03 
       2.625282951063e-03       7.817346541672e+03 
       2.750445584256e-03       8.116238713873e+03 
       2.876999384892e-03       8.412284172477e+03 
       3.004809000027e-03       8.705285545881e+03 
       3.133753389392e-03       8.994733981008e+03 
       3.263724471331e-03       9.280272088444e+03 
       3.394625809885e-03       9.561800730490e+03 
       3.526371377740e-03       9.839012106524e+03 
       3.658884413917e-03       1.011180901464e+04 
       3.792096384184e-03       1.038002144564e+04 
       3.925946044955e-03       1.064352607190e+04 
