# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.549844582695e-02       1.953769129006e+04 
       1.564204278759e-02       1.953987466754e+04 
       1.578567818826e-02       1.954080517950e+04 
       1.592935230867e-02       1.954007652323e+04 
       1.607306545061e-02       1.953789575258e+04 
       1.621681793777e-02       1.953422608389e+04 
       1.636061011562e-02       1.952919149139e+04 
       1.650444235122e-02       1.952294499984e+04 
       1.664831503316e-02       1.951458519726e+04 
       1.679222857148e-02       1.950571313256e+04 
       1.693618339762e-02       1.949525059996e+04 
       1.708017996436e-02       1.948349520959e+04 
       1.722421874586e-02       1.947024009565e+04 
       1.736830023764e-02       1.945585692853e+04 
       1.751242495665e-02       1.944027235909e+04 
       1.765659344131e-02       1.942348189423e+04 
       1.780080625159e-02       1.940553795163e+04 
       1.794506396910e-02       1.938624998956e+04 
       1.808936719726e-02       1.936592707547e+04 
       1.823371656135e-02       1.934453997288e+04 
       1.837811270876e-02       1.932205176543e+04 
       1.852255630910e-02       1.929855464760e+04 
       1.866704805443e-02       1.927350876640e+04 
       1.881158865943e-02       1.924781195995e+04 
       1.895617886170e-02       1.922094820631e+04 
       1.910081942191e-02       1.919300795433e+04 
       1.924551112415e-02       1.916449380812e+04 
       1.939025477619e-02       1.913458162943e+04 
       1.953505120972e-02       1.910456449197e+04 
       1.967990128074e-02       1.907258947306e+04 
       1.982480586987e-02       1.904015823360e+04 
       1.996976588269e-02       1.900630415551e+04 
       2.011478225010e-02       1.897243227332e+04 
       2.025985592872e-02       1.893726660970e+04 
       2.040498790130e-02       1.890131029359e+04 
       2.055017917713e-02       1.886475614590e+04 
       2.069543079245e-02       1.882697890208e+04 
       2.084074381096e-02       1.878867364944e+04 
       2.098611932426e-02       1.874947114305e+04 
       2.113155845234e-02       1.870948801781e+04 
       2.127706234411e-02       1.866889958229e+04 
       2.142263217790e-02       1.862740547335e+04 
       2.156826916204e-02       1.858562714630e+04 
       2.171397453542e-02       1.854247880739e+04 
       2.185974956806e-02       1.849901820291e+04 
       2.200559556174e-02       1.845476759757e+04 
       2.215151385061e-02       1.840998876852e+04 
       2.229750580186e-02       1.836486212772e+04 
       2.244357281639e-02       1.831853902638e+04 
       2.258971632947e-02       1.827165900743e+04 
       2.273593781151e-02       1.822489524624e+04 
       2.288223876875e-02       1.817702433350e+04 
       2.302862074405e-02       1.812850449283e+04 
       2.317508531768e-02       1.807911581588e+04 
       2.332163410811e-02       1.803012854361e+04 
       2.346826877287e-02       1.798020825562e+04 
       2.361499100937e-02       1.792910632960e+04 
       2.376180255587e-02       1.787841106466e+04 
       2.390870519233e-02       1.782666572874e+04 
       2.405570074136e-02       1.777455555217e+04 
       2.420279106923e-02       1.772219692201e+04 
       2.434997808685e-02       1.766920391047e+04 
       2.449726375083e-02       1.761587770836e+04 
       2.464465006450e-02       1.756208523632e+04 
       2.479213907907e-02       1.750791215712e+04 
       2.493973289473e-02       1.745342108970e+04 
       2.508743366182e-02       1.739833369965e+04 
       2.523524358206e-02       1.734304407361e+04 
       2.538316490977e-02       1.728741378457e+04 
       2.553119995315e-02       1.723125211525e+04 
       2.567935107562e-02       1.717473660280e+04 
       2.582762069719e-02       1.711793598224e+04 
       2.597601129582e-02       1.706094101123e+04 
       2.612452540893e-02       1.700354384579e+04 
       2.627316563482e-02       1.694572442779e+04 
       2.642193463431e-02       1.688744429951e+04 
       2.657083513223e-02       1.682951404431e+04 
       2.671986991914e-02       1.677146059890e+04 
       2.686904185296e-02       1.671219883066e+04 
       2.701835386077e-02       1.665332529698e+04 
       2.716780894059e-02       1.659397267327e+04 
       2.731741016321e-02       1.653443435585e+04 
       2.746716067419e-02       1.647457103796e+04 
       2.761706369577e-02       1.641459761452e+04 
       2.776712252894e-02       1.635469557224e+04 
       2.791734055559e-02       1.629407266994e+04 
       2.806772124064e-02       1.623360893028e+04 
       2.821826813436e-02       1.617341213077e+04 
       2.836898487464e-02       1.611232118145e+04 
       2.851987518946e-02       1.605126849236e+04 
       2.867094289936e-02       1.598944684814e+04 
       2.882219192001e-02       1.592891417662e+04 
       2.897362626489e-02       1.586680753252e+04 
       2.912525004808e-02       1.580520890885e+04 
       2.927706748703e-02       1.574349024086e+04 
       2.942908290560e-02       1.568162094924e+04 
       2.958130073709e-02       1.561975005781e+04 
       2.973372552740e-02       1.555789926957e+04 
       2.988636193829e-02       1.549566772874e+04 
       3.003921475082e-02       1.543323219818e+04 
       3.019228886884e-02       1.537132081480e+04 
       3.034558932265e-02       1.530878792597e+04 
       3.049912127274e-02       1.524617839119e+04 
       3.065289001378e-02       1.518370528806e+04 
       3.080690097861e-02       1.512114516944e+04 
       3.096115974251e-02       1.505854647333e+04 
       3.111567202753e-02       1.499580091834e+04 
       3.127044370705e-02       1.493332479739e+04 
       3.142548081051e-02       1.487048838124e+04 
       3.158078952826e-02       1.480799299831e+04 
       3.173637621667e-02       1.474496684869e+04 
       3.189224740342e-02       1.468221543148e+04 
       3.204840979296e-02       1.461958811039e+04 
       3.220487027223e-02       1.455691274754e+04 
       3.236163591659e-02       1.449405513485e+04 
       3.251871399601e-02       1.443123119455e+04 
       3.267611198145e-02       1.436857955290e+04 
       3.283383755162e-02       1.430564873517e+04 
       3.299189859984e-02       1.424277290627e+04 
       3.315030324139e-02       1.418010784697e+04 
       3.330905982100e-02       1.411810174811e+04 
       3.346817692075e-02       1.405530418066e+04 
       3.362766336830e-02       1.399290064907e+04 
       3.378752824539e-02       1.393054944182e+04 
       3.394778089687e-02       1.386751656813e+04 
       3.410843093993e-02       1.380567932199e+04 
       3.426948827390e-02       1.374303782194e+04 
       3.443096309044e-02       1.368108254112e+04 
       3.459286588410e-02       1.361880419685e+04 
       3.475520746348e-02       1.355670594260e+04 
       3.491799896287e-02       1.349427072341e+04 
       3.508125185437e-02       1.343293433700e+04 
       3.524497796062e-02       1.337067649457e+04 
       3.540918946815e-02       1.330901234528e+04 
       3.557389894133e-02       1.324708770870e+04 
